ID;NOMBRE;Página;PAIS;CONTINENTE;IF;PR.SN;C.TAL;RON.INV;TOP;Pitch
1;Vérios Investimentos;http://www.verios.com.br/;BRASIL;AMERICASUR;1600000;2;25;3;7;NO
2;Warren;http://www.warren.com.br/;BRASIL;AMERICASUR;25000000;5;341;3;8;NO
3;Magnetis;http://www.magnetis.com.br/;BRASIL;AMERICASUR;16900000;5;103;4;10;NO
4;Portfy;https://www.portfy.com.br/;BRASIL;AMERICASUR;63000;4;4;2;6;NO
5;FinanZero;http://www.finanzero.com.br/;BRASIL;AMERICASUR;15800000;5;42;4;7;NO
6;Bfix;http://www.bfix.com.br/;BRASIL;AMERICASUR;250000;2;17;2;3;NO
7;Capital Empreendedor;http://www.capitalempreendedor.com.br/;BRASIL;AMERICASUR;301900;3;23;2;4;SÍ
8;Mellro;http://www.mellro.com/;BRASIL;AMERICASUR;20000;4;10;1;4;SÍ
9;Mercatório;http://www.mercatorio.com.br/;BRASIL;AMERICASUR;140000;4;12;2;5;SÍ
10;Creditas;https://www.creditas.com/;BRASIL;AMERICASUR;314000000;4;1777;5;10;NO
11;EBANX;http://www.business.ebanx.com/;BRASIL;AMERICASUR;30000000;3;1;3;10;NO
12;Meu Cambio;https://empresas.meucambio.com.br/;BRASIL;AMERICASUR;370000;3;6;2;8;SÍ
13;Bloxs Investimentos;https://bloxs.com.br/;BRASIL;AMERICASUR;540000;5;40;2;4;NO
14;ContaAzul;http://www.contaazul.com/;BRASIL;AMERICASUR;40900000;5;410;5;10;NO
15;Cora;http://www.cora.creativedrive.com/;BRASIL;AMERICASUR;10300000;2;152;3;10;SÍ
16;EmCasa;http://www.emcasa.com/;BRASIL;AMERICASUR;3600000;3;947;3;4;NO
17;Facio;http://www.facio.com.br/;BRASIL;AMERICASUR;7100000;2;13;3;3;NO
18;Guiabolso;http://www.guiabolso.com.br/;BRASIL;AMERICASUR;77300000;5;204;5;10;NO
19;IOUU;http://www.iouu.com.br/;BRASIL;AMERICASUR;1900000;5;35;2;6;NO
20;Iugu;http://www.iugu.com/;BRASIL;AMERICASUR;24900000;5;146;3;10;NO
22;RecargaPay;http://www.recargapay.com.br/;BRASIL;AMERICASUR;52900000;4;296;4;12;NO
23;Smartbill;http://www.smartbill.com.br/;BRASIL;AMERICASUR;750000;2;2;2;10;NO
24;WEEL;http://www.weel.com.br/;BRASIL;AMERICASUR;63100000;2;100;4;8;NO
25;A55;http://www.a55.tech/;BRASIL;AMERICASUR;5000000;4;58;2;5;NO
26;ASAAS;http://www.asaas.com/;BRASIL;AMERICASUR;1100000;5;100;3;9;NO
27;BizCapital;http://www.bizcapital.com.br/;BRASIL;AMERICASUR;17000000;3;108;4;6;NO
28;Eusoelliot;http://www.eusouelliot.com/;BRASIL;AMERICASUR;3800000;3;25;3;4;NO
29;Hash;http://www.hash.com.br/;BRASIL;AMERICASUR;9000000;3;78;3;5;NO
30;Idwall;http://www.idwall.co/;BRASIL;AMERICASUR;13800000;3;127;3;6;NO
31;Kzas;http://www.kzas.ai/;BRASIL;AMERICASUR;4000000;5;60;2;3;NO
32;Livima Imóveis;http://www.livima.com.br/;BRASIL;AMERICASUR;189500;4;9;2;5;NO
33;Monkey Exchange;http://www.monkey.exchange/;BRASIL;AMERICASUR;50000;4;41;2;6;NO
34;Noverde;http://www.noverde.com.br/;BRASIL;AMERICASUR;12000000;3;57;2;6;NO
35;Pitzi;http://www.pitzi.com.br/;BRASIL;AMERICASUR;33500000;4;98;4;10;NO
36;SocialBlocks_;http://www.socialblocks.io/;BRASIL;AMERICASUR;126700;3;3;2;5;NO
37;Vindi;http://www.vindi.com.br/;BRASIL;AMERICASUR;7500000;4;166;4;9;NO
38;Zen Finance;http://www.zenfinance.com.br/;BRASIL;AMERICASUR;1800000;3;10;2;4;NO
39;bxblue;http://www.bxblue.com.br/;BRASIL;AMERICASUR;120000;5;25;2;6;NO
40;payfy;https://www.payfy.io/;BRASIL;AMERICASUR;500000;4;15;1;4;NO
41;Avante;http://www.avante.com.vc/;BRASIL;AMERICASUR;18800000;4;127;4;10;NO
42;Bidu;http://www.bidu.com.br/;BRASIL;AMERICASUR;8900000;2;61;4;11;NO
43;Bitshopp;http://www.bitshopp.com/;BRASIL;AMERICASUR;350000;3;7;2;4;NO
44;Bom Pra Credito;http://www.bompracredito.com.br/;BRASIL;AMERICASUR;1800000;5;12;2;8;NO
45;Fatura Simples;http://www.faturasimples.com.br/;BRASIL;AMERICASUR;250000;4;17;2;8;NO
46;Konduto;http://www.konduto.com/;BRASIL;AMERICASUR;2500000;4;100;2;8;NO
47;Magnetis;http://www.magnetis.com.br/;BRASIL;AMERICASUR;16900000;5;103;4;10;NO
49;Pagamento.me;http://www.pagamento.me/;BRASIL;AMERICASUR;15000;4;5;2;7;NO
50;Pier;http://www.pier.digital/;BRASIL;AMERICASUR;7600000;2;87;3;4;NO
51;Planium;https://planium.io/;BRASIL;AMERICASUR;50000;2;30;2;13;NO
52;QuintoAndar;http://www.quintoandar.com.br/;BRASIL;AMERICASUR;345000000;4;1000;5;10;NO
54;Warren;http://www.warren.com.br/;BRASIL;AMERICASUR;25000000;5;341;3;8;NO
55;Reworth;https://www.reworth.co/;MEXICO;AMERICANOR;525000;5;15;1;2;NO
56;Expediente Azul;http://www.expedienteazul.com/;MEXICO;AMERICANOR;100000;3;6;2;4;NO
57;HAMOC;https://www.hamoc.rent/;MEXICO;AMERICANOR;500000;5;10;2;6;NO
58;Boom Credit;http://www.boomcredit.mx/;MEXICO;AMERICANOR;5000000;3;21;5;4;NO
59;hola cash;https://holacash.mx/;MEXICO;AMERICANOR;7900000;4;50;2;3;SÍ
60;Monific;https://monific.com/;MEXICO;AMERICANOR;500000;5;21;2;4;SÍ
61;Klinc;https://www.klinc.mx/;MEXICO;AMERICANOR;350000;1;13;1;3;SÍ
62;Scorce;https://www.scorce.io/;MEXICO;AMERICANOR;200000;4;7;1;3;SÍ
63;CINCEL;https://www.cincel.digital/;MEXICO;AMERICANOR;1300000;5;19;3;3;SÍ
64;Ekatena;https://www.ekatena.com/;MEXICO;AMERICANOR;200000;3;10;1;3;SÍ
65;YOYUU;https://yoyuu.mx/;MEXICO;AMERICANOR;1300000;2;2;2;5;NO
66;Blumon Pay;https://blumonpay.com/;MEXICO;AMERICANOR;1000000;5;35;2;7;SÍ
67;transforma ideas sas;https://www.tadelanto.com/;COLOMBIA;AMERICASUR;80000;3;4;2;1;SÍ
68;COLLECT PAY S.A.S;https://collectpay.com.co/;COLOMBIA;AMERICASUR;450000;3;10;5;5;SÍ
69;Business App;https://www.businessapp.us/;COLOMBIA;AMERICASUR;1800;5;2;2;2;SÍ
70;Libera supply chain finance;https://www.liberascf.com/;COLOMBIA;AMERICASUR;500000;4;20;2;9;SÍ
71;TI724;https://www.ti724.com/;COLOMBIA;AMERICASUR;3000000;3;70;5;9;SÍ
72;arKdia;http://www.arkdia.co/;COLOMBIA;AMERICASUR;67700;2;8;1;4;SÍ
73;MO Technologies;http://www.wearemo.com/;COLOMBIA;AMERICASUR;6500000;3;120;3;6;NO
74;LiberTec;https://www.libertec.co/;COLOMBIA;AMERICASUR;300000;2;6;2;3;NO
75;reconoSER ID;https://www.reconoserid.com/;COLOMBIA;AMERICASUR;3000000;3;24;3;3;SÍ
76;Addi;http://www.addi.com/;COLOMBIA;AMERICASUR;32000000;3;185;4;4;NO
77;nurent;https://www.nurent.co/;COLOMBIA;AMERICASUR;80000;3;5;1;2;NO
78;Arrankar SAS;https://www.arrankar.com/;COLOMBIA;AMERICASUR;25000;3;4;5;1;NO
79;Puntored;http://www.puntored.co/;COLOMBIA;AMERICASUR;6000000;5;202;4;17;NO
80;Insside Informacion Inteligente SRL;https://insside.net/;ARGENTINA;AMERICASUR;30000;3;50;5;15;SÍ
81;Cellbank;http://www.cellbankgroup.com/;ARGENTINA;AMERICASUR;1000000;2;25;2;2;SÍ
82;Bitex;http://www.bitex.la/;ARGENTINA;AMERICASUR;1500000;4;50;3;8;SÍ
83;Xcapit;http://www.xcapit.com/;ARGENTINA;AMERICASUR;722000;4;2;2;4;NO
84;uils;https://www.uils.la/;ARGENTINA;AMERICASUR;300000;2;10;1;3;SÍ
85;Plika;https://www.getplika.com/;ARGENTINA;AMERICASUR;400000;3;25;2;2;NO
86;CryptoMate;http://cryptomate.me/;ARGENTINA;AMERICASUR;550000;4;8;2;1;SÍ
87;Rebill;http://www.rebill.to/;ARGENTINA;AMERICASUR;139000;3;6;1;3;NO
88;ARVENZIS S.A;https://elvoucher.com/;ARGENTINA;AMERICASUR;200000;2;7;3;7;NO
89;Alprestamo;https://www.alprestamo.com/;ARGENTINA;AMERICASUR;4000000;3;20;3;5;NO
90;Pomelo Fintech Services;https://pomelo.la/;ARGENTINA;AMERICASUR;45000000;2;105;3;1;NO
91;TheEye;https://theeye.io/;ARGENTINA;AMERICASUR;480000;4;13;2;5;SÍ
92;Creditek;https://www.creditek.com.co/;ARGENTINA;AMERICASUR;1800000;2;26;2;3;SÍ
93;U-PAYMENTS;https://www.u-payments.com/;CHILE;AMERICASUR;150000000;2;87;3;4;SÍ
94;Crowdfunding.cl;https://www.crowdfunding.cl/;CHILE;AMERICASUR;50000;4;4;5;7;SÍ
95;Broota;http://www.inversion.broota.com/;CHILE;AMERICASUR;254000;4;10;2;10;SÍ
96;Comparabien;https://comparabien.com/;PERU;AMERICASUR;1000000;4;17;2;12;NO
97;IntiCoin;https://www.inticoin.org.pe/;PERU;AMERICASUR;10000;5;50;5;3;NO
98;Aracar Group;http://www.aracargroup.com/;URUGUAY;AMERICASUR;10500000;3;100;3;3;NO
99;Miceliom;https://www.miceliom.com/;URUGUAY;AMERICASUR;15000;2;3;1;2;SÍ
